PictureRatings_2,ImageCategory,port,prt_2_loop.thisRepN,prt_2_loop.thisTrialN,prt_2_loop.thisN,prt_2_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,pre_prt2_1_text.started,pre_prt2_1_text.stopped,pre_prt2_1_resp.keys,pre_prt2_1_resp.rt,pre_prt2_1_resp.started,pre_prt2_1_resp.stopped,pre_prt2_2_text.started,pre_prt2_2_text.stopped,pre_prt2_2_resp.keys,pre_prt2_2_resp.rt,pre_prt2_2_resp.started,pre_prt2_2_resp.stopped,blank_10seconds.started,blank_10seconds.stopped,prt_2_image.started,prt_2_image.stopped,prt_image_intens.started,prt_image_intens.stopped,prt_image_intens_resp.keys,prt_image_intens_resp.rt,prt_image_intens_resp.started,prt_image_intens_resp.stopped,text.started,text.stopped,prt_2_vas.response,prt_2_vas.rt,prt_2_vas.started,prt_2_vas.stopped,prt_2_vas_guide.started,prt_2_vas_guide.stopped,prt_2_vas_instructions.started,prt_2_vas_instructions.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.343050816901268,None,space,2.9652179530512512,7.343050816901268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
,,,,,,,,,,,,,10.324087586854148,None,space,2.0863335962440033,15.32893205633809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
,,,,,,,,,,,,,,,,,,,17.431205859154943,None,space,0.6847233802809569,20.434233389671135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/7009.jpg,Neutral,1,0,0,0,1,,,,,,,,,,,,,,,,,,,43.790417126760076,None,31.195567774648225,None,37.150949258215405,None,num_3,2.9030730516433323,37.150949258215405,None,37.150949258215405,None,-11,3.699,0.002571718309809512,None,40.08057029107931,None,40.08057029107931,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/2900.jpg,Unpleasant,3,0,1,1,9,,,,,,,,,,,,,,,,,,,65.09504180281692,None,53.82128736150207,None,59.79016413145564,None,num_8,1.4856136713615342,59.79016413145564,None,59.79016413145564,None,-41,3.774,0.011888976525369799,None,61.29914952112631,None,61.29914952112631,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/2311.jpg,Pleasant,2,0,2,2,4,,,,,,,,,,,,,,,,,,,86.96691500469478,None,75.1262110046946,None,81.07811425352065,None,num_5,2.1363728826290753,81.07811425352065,None,81.07811425352065,None,-21,3.707,0.012097201877622865,None,83.23802501408409,None,83.23802501408409,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/7036.jpg,Neutral,1,0,3,3,3,,,,,,,,,,,,,,,,,,,107.78775226291054,None,96.98341618779341,None,102.94995320187809,None,num_1,1.1854215211269548,102.94995320187809,None,102.94995320187809,None,-10,3.606,0.013240488262454164,None,104.16031579342689,None,104.16031579342689,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/2393.jpg,Neutral,1,0,4,4,0,,,,,,,,,,,,,,,,,,,127.39061603755817,None,117.81913780281684,None,123.77075590610275,None,num_2,1.0185239436623306,123.77075590610275,None,123.77075590610275,None,-12,2.556,0.012731793427519733,None,124.81356890140796,None,124.81356890140796,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/3350.jpg,Unpleasant,3,0,5,5,8,,,,,,,,,,,,,,,,,,,150.91400172769954,None,137.42133814084536,None,143.37352984037534,None,num_9,1.9523509483569796,143.37352984037534,None,143.37352984037534,None,-46,5.54,0.013754591549513862,None,145.35048713615015,None,145.35048713615015,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
images/7006.jpg,Neutral,1,0,6,6,2,,,,,,,,,,,,,,,,,,,173.28647932394324,None,160.94473464788734,None,166.89717874178405,None,num_2,2.8701878685451447,166.89717874178405,None,166.89717874178405,None,-12,3.474,0.011981821596236841,None,169.79063616901385,None,169.79063616901385,None,,,,,,,835,001,2019_May_27_1144,MAER M R2 P2,3.1.0,60.02407726348008,
