ReactivityImage2,ImageCategory,SoundFile,CorrectAns,reac_2_loop.thisRepN,reac_2_loop.thisTrialN,reac_2_loop.thisN,reac_2_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,reac_2_image.started,reac_2_image.stopped,reac_2_sound.started,reac_2_sound.stopped,reac_2_keys.keys,reac_2_keys.corr,reac_2_keys.rt,reac_2_keys.started,reac_2_keys.stopped,blank_1second.started,blank_1second.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.758777679589912,None,space,26.406472826023673,11.758777679589912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
,,,,,,,,,,,,,,38.18064353875707,None,space,2.1692362285248237,41.18373386368148,None,,,,,,,,,,,,,,,,,,,,,,,,,,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
,,,,,,,,,,,,,,,,,,,,43.36905600714272,None,space,0.9015311606017349,46.37216916772013,None,,,,,,,,,,,,,,,,,,,,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
,,,,,,,,,,,,,,,,,,,,,,,,,,47.289714431140965,None,space,0.9848016708492651,52.29478725133413,None,,,,,,,,,,,,,,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/7040.jpg,Neutral,sounds/high 4 second.wav,num_2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,53.29578060225322,None,58.35492374243768,None,58.35492374243768,None,num_2,1,4.867751520449019,58.35492374243768,None,64.30646047674236,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/2840.jpg,Neutral,sounds/low 1 second.wav,num_1,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,65.33483828300996,None,65.33483828300996,None,num_1,1,1.8082514229463413,65.33483828300996,None,71.29699329563118,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/9001.jpg,Unpleasant,sounds/low 1 second.wav,num_1,0,2,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,72.31826350480878,None,72.31826350480878,None,num_1,1,1.882583577740661,72.31826350480878,None,78.2874377766002,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/9342.jpg,Unpleasant,sounds/high 1 second.wav,num_2,0,3,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,79.33372023740594,None,79.33372023740594,None,num_2,1,1.856717392865903,79.33372023740594,None,85.27793033262788,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/2456.jpg,Unpleasant,sounds/high 1 second.wav,num_2,0,4,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,86.32366473775437,None,86.32366473775437,None,num_2,1,1.7739955392353295,86.32366473775437,None,92.26806533039962,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/9265.jpg,Unpleasant,sounds/low 4 second.wav,num_1,0,5,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,93.29342822949366,None,93.29342822949366,None,num_1,1,4.864384463462557,93.29342822949366,None,99.25834094772108,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/2850.jpg,Neutral,sounds/high 4 second.wav,num_2,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,100.27725547897899,None,100.27725547897899,None,num_2,1,4.954222627788113,100.27725547897899,None,106.2486817668414,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/7950.jpg,Neutral,sounds/low 4 second.wav,num_1,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,107.26767712429319,None,107.26767712429319,None,num_1,1,4.937383737229538,107.26767712429319,None,113.2390249897162,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/7006.jpg,Neutral,sounds/high 1 second.wav,num_2,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,114.27740120650378,None,114.27740120650378,None,num_2,1,1.9984291474265774,114.27740120650378,None,120.22916419405556,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/7036.jpg,Neutral,sounds/high 4 second.wav,num_2,0,9,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,121.26720328448755,None,121.26720328448755,None,num_2,1,4.918460792836413,121.26720328448755,None,127.23598484313516,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/5510.jpg,Neutral,sounds/high 1 second.wav,num_2,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2708131205236,None,128.2708131205236,None,num_2,1,1.8517906006654812,128.2708131205236,None,134.24305277830172,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/9102.jpg,Unpleasant,sounds/high 1 second.wav,num_2,0,11,11,39,,,,,,,,,,,,,,,,,,,,,,,,,,,135.27849461363985,None,135.27849461363985,None,num_2,1,2.1182457170380076,135.27849461363985,None,141.23317996387777,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/1910.jpg,Pleasant,sounds/high 1 second.wav,num_2,0,12,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,142.27395692895334,None,142.27395692895334,None,num_2,1,1.84676615600074,142.27395692895334,None,148.24041405846947,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/9210.jpg,Neutral,sounds/low 1 second.wav,num_1,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,149.25975225118964,None,149.25975225118964,None,num_1,1,1.784409799018249,149.25975225118964,None,155.24761179629604,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/7481.jpg,Pleasant,sounds/low 4 second.wav,num_1,0,14,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,156.29034511582904,None,156.29034511582904,None,num_1,1,4.863556070093182,156.29034511582904,None,162.23775220251264,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/2339.jpg,Pleasant,sounds/high 4 second.wav,num_2,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2687110385432,None,163.2687110385432,None,num_2,1,5.009082280163057,163.2687110385432,None,169.22826368809547,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/1590.jpg,Pleasant,sounds/low 1 second.wav,num_1,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2515187962963,None,170.2515187962963,None,num_1,1,1.8631239954938792,170.2515187962963,None,176.23505098510213,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
images/2900.jpg,Unpleasant,sounds/low 1 second.wav,num_1,0,17,17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,177.25365843691725,None,177.25365843691725,None,num_1,1,2.235530834292149,177.25365843691725,None,183.22520431149132,None,717,002,2019_May_06_1149,MAER M R1 P2 v1,3.1.0,59.80035576939468,
