PictureRatings_1,ImageCategory,n,blank_10seconds.started_mean,blank_10seconds.started_raw,blank_10seconds.started_std,blank_10seconds.stopped_raw,prt_1_image.started_mean,prt_1_image.started_raw,prt_1_image.started_std,prt_1_image.stopped_mean,prt_1_image.stopped_raw,prt_1_image.stopped_std,prt_1_image_intensity.started_mean,prt_1_image_intensity.started_raw,prt_1_image_intensity.started_std,prt_1_image_intensity.stopped_raw,prt_1_image_intensity_resp.keys_raw,prt_1_image_intensity_resp.rt_mean,prt_1_image_intensity_resp.rt_raw,prt_1_image_intensity_resp.rt_std,prt_1_image_intensity_resp.started_mean,prt_1_image_intensity_resp.started_raw,prt_1_image_intensity_resp.started_std,prt_1_image_intensity_resp.stopped_raw,prt_1_image_intensity_text.started_mean,prt_1_image_intensity_text.started_raw,prt_1_image_intensity_text.started_std,prt_1_image_intensity_text.stopped_raw,prt_1_vas.response_mean,prt_1_vas.response_raw,prt_1_vas.response_std,prt_1_vas.rt_mean,prt_1_vas.rt_raw,prt_1_vas.rt_std,prt_1_vas.started_mean,prt_1_vas.started_raw,prt_1_vas.started_std,prt_1_vas.stopped_raw,prt_1_vas_guide.started_mean,prt_1_vas_guide.started_raw,prt_1_vas_guide.started_std,prt_1_vas_guide.stopped_raw,prt_1_vas_instructions.started_mean,prt_1_vas_instructions.started_raw,prt_1_vas_instructions.started_std,prt_1_vas_instructions.stopped_raw,order
images/7513.jpg,Neutral,1.0,553.0947265625,553.0947265625,0.0,,542.2343139648438,542.2343139648438,0.0,548.1898803710938,548.1898803710938,0.0,548.1898803710938,548.1898803710938,0.0,,'num_5',1.8694884777069092,1.8694884777069092,0.0,548.1898803710938,548.1898803710938,0.0,,548.1898803710938,548.1898803710938,0.0,,0.0,0.0,0.0,2.999000072479248,2.999000072479248,0.0,550.0757446289062,550.0757446289062,0.0,,550.0757446289062,550.0757446289062,0.0,,550.0757446289062,550.0757446289062,0.0,,2.0
images/7180.jpg,Neutral,1.0,532.1903686523438,532.1903686523438,0.0,,522.2500610351562,522.2500610351562,0.0,528.2200317382812,528.2200317382812,0.0,528.2200317382812,528.2200317382812,0.0,,'num_5',2.669410467147827,2.669410467147827,0.0,528.2200317382812,528.2200317382812,0.0,,528.2200317382812,528.2200317382812,0.0,,0.0,0.0,0.0,1.2640000581741333,1.2640000581741333,0.0,530.9060668945312,530.9060668945312,0.0,,530.9060668945312,530.9060668945312,0.0,,530.9060668945312,530.9060668945312,0.0,,1.0
images/2393.jpg,Neutral,1.0,683.7750244140625,683.7750244140625,0.0,,672.665771484375,672.665771484375,0.0,678.620361328125,678.620361328125,0.0,678.636962890625,678.636962890625,0.0,,'num_5',1.235132098197937,1.235132098197937,0.0,678.636962890625,678.636962890625,0.0,,678.636962890625,678.636962890625,0.0,,0.0,0.0,0.0,3.8580000400543213,3.8580000400543213,0.0,679.89599609375,679.89599609375,0.0,,679.89599609375,679.89599609375,0.0,,679.89599609375,679.89599609375,0.0,,8.0
images/2745.jpg,Neutral,1.0,724.9661254882812,724.9661254882812,0.0,,715.7955932617188,715.7955932617188,0.0,721.7467041015625,721.7467041015625,0.0,721.76318359375,721.76318359375,0.0,,'num_5',1.2348601818084717,1.2348601818084717,0.0,721.76318359375,721.76318359375,0.0,,721.76318359375,721.76318359375,0.0,,0.0,0.0,0.0,1.9199999570846558,1.9199999570846558,0.0,723.0238037109375,723.0238037109375,0.0,,723.0238037109375,723.0238037109375,0.0,,723.0238037109375,723.0238037109375,0.0,,10.0
images/1721.jpg,Pleasant,1.0,705.7637939453125,705.7637939453125,0.0,,693.8056640625,693.8056640625,0.0,699.7579956054688,699.7579956054688,0.0,699.7747802734375,699.7747802734375,0.0,,'num_7',2.8036017417907715,2.8036017417907715,0.0,699.7747802734375,699.7747802734375,0.0,,699.7747802734375,699.7747802734375,0.0,,8.0,8.0,0.0,3.138000011444092,3.138000011444092,0.0,702.6024169921875,702.6024169921875,0.0,,702.6024169921875,702.6024169921875,0.0,,702.6024169921875,702.6024169921875,0.0,,9.0
images/8380.jpg,Pleasant,1.0,597.7223510742188,597.7223510742188,0.0,,586.65283203125,586.65283203125,0.0,592.6012573242188,592.6012573242188,0.0,592.6177368164062,592.6177368164062,0.0,,'num_6',1.7190971374511719,1.7190971374511719,0.0,592.6177368164062,592.6177368164062,0.0,,592.6177368164062,592.6177368164062,0.0,,5.0,5.0,0.0,3.3389999866485596,3.3389999866485596,0.0,594.3607177734375,594.3607177734375,0.0,,594.3607177734375,594.3607177734375,0.0,,594.3607177734375,594.3607177734375,0.0,,4.0
images/1650.jpg,Pleasant,1.0,662.6373901367188,662.6373901367188,0.0,,651.7151489257812,651.7151489257812,0.0,657.6660766601562,657.6660766601562,0.0,657.6826171875,657.6826171875,0.0,,'num_6',1.5024213790893555,1.5024213790893555,0.0,657.6826171875,657.6826171875,0.0,,657.6826171875,657.6826171875,0.0,,3.0,3.0,0.0,3.4130001068115234,3.4130001068115234,0.0,659.200927734375,659.200927734375,0.0,,659.200927734375,659.200927734375,0.0,,659.200927734375,659.200927734375,0.0,,7.0
images/2389.jpg,Pleasant,1.0,641.68310546875,641.68310546875,0.0,,629.8912963867188,629.8912963867188,0.0,635.8441162109375,635.8441162109375,0.0,635.8611450195312,635.8611450195312,0.0,,'num_6',2.5525052547454834,2.5525052547454834,0.0,635.8611450195312,635.8611450195312,0.0,,635.8611450195312,635.8611450195312,0.0,,6.0,6.0,0.0,3.2219998836517334,3.2219998836517334,0.0,638.4378662109375,638.4378662109375,0.0,,638.4378662109375,638.4378662109375,0.0,,638.4378662109375,638.4378662109375,0.0,,6.0
images/2205.jpg,Unpleasant,1.0,512.2205200195312,512.2205200195312,0.0,,485.1390686035156,485.1390686035156,0.0,491.11663818359375,491.11663818359375,0.0,491.1330871582031,491.1330871582031,0.0,,'num_7',4.505401134490967,4.505401134490967,0.0,491.1330871582031,491.1330871582031,0.0,,491.1330871582031,491.1330871582031,0.0,,-20.0,-20.0,0.0,16.545000076293945,16.545000076293945,0.0,495.6692810058594,495.6692810058594,0.0,,495.6692810058594,495.6692810058594,0.0,,495.6692810058594,495.6692810058594,0.0,,0.0
images/2276.jpg,Unpleasant,1.0,576.6181640625,576.6181640625,0.0,,563.1195678710938,563.1195678710938,0.0,569.0777587890625,569.0777587890625,0.0,569.09423828125,569.09423828125,0.0,,'num_4',2.0863280296325684,2.0863280296325684,0.0,569.09423828125,569.09423828125,0.0,,569.09423828125,569.09423828125,0.0,,-5.0,-5.0,0.0,5.389999866485596,5.389999866485596,0.0,571.2059326171875,571.2059326171875,0.0,,571.2059326171875,571.2059326171875,0.0,,571.2059326171875,571.2059326171875,0.0,,3.0
