PracticeImage,ImageCategory,SoundFile,CorrectAns,ReactivityImage1,PictureRatings_1,prac_reac_loop.thisRepN,prac_reac_loop.thisTrialN,prac_reac_loop.thisN,prac_reac_loop.thisIndex,reac_1_loop.thisRepN,reac_1_loop.thisTrialN,reac_1_loop.thisN,reac_1_loop.thisIndex,prt_1_loop.thisRepN,prt_1_loop.thisTrialN,prt_1_loop.thisN,prt_1_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,practice_reac_image.started,practice_reac_image.stopped,practice_reac_sound.started,practice_reac_sound.stopped,practice_reac_keys.keys,practice_reac_keys.corr,practice_reac_keys.rt,practice_reac_keys.started,practice_reac_keys.stopped,blank_1second.started,blank_1second.stopped,post_prac_reac_text.started,post_prac_reac_text.stopped,post_prac_reac_resp.keys,post_prac_reac_resp.rt,post_prac_reac_resp.started,post_prac_reac_resp.stopped,reac_1_image.started,reac_1_image.stopped,reac_1_sound.started,reac_1_sound.stopped,reac_1_keys.keys,reac_1_keys.corr,reac_1_keys.rt,reac_1_keys.started,reac_1_keys.stopped,blank2_1second.started,blank2_1second.stopped,postreac1_slide1_text.started,postreac1_slide1_text.stopped,postreac1_slide1_resp.keys,postreac1_slide1_resp.rt,postreac1_slide1_resp.started,postreac1_slide1_resp.stopped,postreac1_slide2_text.started,postreac1_slide2_text.stopped,postreac1_slide2_resp.keys,postreac1_slide2_resp.rt,postreac1_slide2_resp.started,postreac1_slide2_resp.stopped,postreac1_slide3_text.started,postreac1_slide3_text.stopped,postreac1_slide3_resp.keys,postreac1_slide3_resp.rt,postreac1_slide3_resp.started,postreac1_slide3_resp.stopped,prt_1_image.started,prt_1_image.stopped,prt_1_image_intensity.started,prt_1_image_intensity.stopped,prt_1_image_intensity_resp.keys,prt_1_image_intensity_resp.rt,prt_1_image_intensity_resp.started,prt_1_image_intensity_resp.stopped,prt_1_image_intensity_text.started,prt_1_image_intensity_text.stopped,prt_1_vas.response,prt_1_vas.rt,prt_1_vas.started,prt_1_vas.stopped,prt_1_vas_guide.started,prt_1_vas_guide.stopped,prt_1_vas_instructions.started,prt_1_vas_instructions.stopped,blank_10seconds.started,blank_10seconds.stopped,pre_m_text.started,pre_m_text.stopped,pre_m_resp.keys,pre_m_resp.rt,pre_m_resp.started,pre_m_resp.stopped,m_audio_file.started,m_audio_file.stopped,m_inprogress_text.started,m_inprogress_text.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,8.047669226069047,None,space,81.66040607886316,8.047669226069047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
,,,,,,,,,,,,,,,,,,,,,,,,89.72395423004309,None,space,17.95203871733065,92.72705537837828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.69490691747524,None,space,23.991192931029218,113.69795488266391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.70515924596657,None,space,6.890798774804352,142.71039673425548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
images/7041.jpg,Neutral,sounds/low 1 second.wav,num_1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.61729167380327,None,154.67798325902731,None,154.67798325902731,None,['num_1'],0,[2.3140975601254468],154.67798325902731,None,160.62813442536208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
images/7053.jpg,Neutral,sounds/high 1 second.wav,num_2,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.6599088014209,None,161.6599088014209,None,['num_2'],0,[1.4543003531725844],161.6599088014209,None,167.6183312991543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
images/7059.jpg,Neutral,sounds/high 4 second.wav,num_2,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.64634739952453,None,168.64634739952453,None,['num_2'],0,[4.662064972377266],168.64634739952453,None,174.60890646436746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
images/7042.jpg,Neutral,sounds/low 4 second.wav,num_1,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.64325105870557,None,175.64325105870557,None,['num_2'],0,[4.65574489156279],175.64325105870557,None,181.59915141332021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.61200340612595,None,space,38.92310768655807,185.6366776818886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
,Neutral,sounds/high 1 second.wav,num_2,images/5533.jpg,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.57549933566224,None,,,,,,,,,,,,,,,,,,229.6221259316826,None,229.6221259316826,None,num_2,1,1.6437717727894778,229.6221259316826,None,235.58647008733533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,001,2019_May_13_1217,MAER M R1 P1 v1,3.1.0,59.92793785623901,
