ReactivityImage2,ImageCategory,SoundFile,CorrectAns,n,blank_1second.started_mean,blank_1second.started_raw,blank_1second.started_std,blank_1second.stopped_raw,reac_2_image.started_mean,reac_2_image.started_raw,reac_2_image.started_std,reac_2_image.stopped_raw,reac_2_keys.corr_mean,reac_2_keys.corr_raw,reac_2_keys.corr_std,reac_2_keys.keys_raw,reac_2_keys.rt_mean,reac_2_keys.rt_raw,reac_2_keys.rt_std,reac_2_keys.started_mean,reac_2_keys.started_raw,reac_2_keys.started_std,reac_2_keys.stopped_raw,reac_2_sound.started_mean,reac_2_sound.started_raw,reac_2_sound.started_std,reac_2_sound.stopped_raw,order
images/2840.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,66.24102020263672,66.24102020263672,0.0,,60.28117370605469,60.28117370605469,0.0,,1.0,1.0,0.0,'num_1',1.4896081686019897,1.4896081686019897,0.0,60.28117370605469,60.28117370605469,0.0,,60.28117370605469,60.28117370605469,0.0,,1.0
images/2890.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,303.9952087402344,303.9952087402344,0.0,,298.017333984375,298.017333984375,0.0,,1.0,1.0,0.0,'num_2',1.5911630392074585,1.5911630392074585,0.0,298.017333984375,298.017333984375,0.0,,298.017333984375,298.017333984375,0.0,,35.0
images/7950.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,241.04844665527344,241.04844665527344,0.0,,235.08457946777344,235.08457946777344,0.0,,1.0,1.0,0.0,'num_1',4.647012710571289,4.647012710571289,0.0,235.08457946777344,235.08457946777344,0.0,,235.08457946777344,235.08457946777344,0.0,,26.0
images/7052.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,192.0835418701172,192.0835418701172,0.0,,186.11317443847656,186.11317443847656,0.0,,1.0,1.0,0.0,'num_2',4.736529350280762,4.736529350280762,0.0,186.11317443847656,186.11317443847656,0.0,,186.11317443847656,186.11317443847656,0.0,,19.0
images/7130.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,122.16395568847656,122.16395568847656,0.0,,116.1934814453125,116.1934814453125,0.0,,1.0,1.0,0.0,'num_1',1.6332951784133911,1.6332951784133911,0.0,116.1934814453125,116.1934814453125,0.0,,116.1934814453125,116.1934814453125,0.0,,9.0
images/5510.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,269.01025390625,269.01025390625,0.0,,263.0415954589844,263.0415954589844,0.0,,1.0,1.0,0.0,'num_2',1.5984888076782227,1.5984888076782227,0.0,263.0415954589844,263.0415954589844,0.0,,263.0415954589844,263.0415954589844,0.0,,30.0
images/7030.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,150.14173889160156,150.14173889160156,0.0,,144.18359375,144.18359375,0.0,,1.0,1.0,0.0,'num_1',4.590905666351318,4.590905666351318,0.0,144.18359375,144.18359375,0.0,,144.18359375,144.18359375,0.0,,13.0
images/7004.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,101.19277954101562,101.19277954101562,0.0,,95.22242736816406,95.22242736816406,0.0,,1.0,1.0,0.0,'num_2',4.419171333312988,4.419171333312988,0.0,95.22242736816406,95.22242736816406,0.0,,95.22242736816406,95.22242736816406,0.0,,6.0
images/2441.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,59.250762939453125,59.250762939453125,0.0,,53.29343032836914,53.29343032836914,0.0,,1.0,1.0,0.0,'num_1',1.5196646451950073,1.5196646451950073,0.0,53.29343032836914,53.29343032836914,0.0,,53.29343032836914,53.29343032836914,0.0,,0.0
images/7006.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,296.9880065917969,296.9880065917969,0.0,,291.0289001464844,291.0289001464844,0.0,,1.0,1.0,0.0,'num_2',1.722427487373352,1.722427487373352,0.0,291.0289001464844,291.0289001464844,0.0,,291.0289001464844,291.0289001464844,0.0,,34.0
images/7217.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,164.122314453125,164.122314453125,0.0,,158.161376953125,158.161376953125,0.0,,1.0,1.0,0.0,'num_1',4.693551063537598,4.693551063537598,0.0,158.161376953125,158.161376953125,0.0,,158.161376953125,158.161376953125,0.0,,15.0
images/2850.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,115.17362976074219,115.17362976074219,0.0,,109.202880859375,109.202880859375,0.0,,1.0,1.0,0.0,'num_2',4.686708927154541,4.686708927154541,0.0,109.202880859375,109.202880859375,0.0,,109.202880859375,109.202880859375,0.0,,8.0
images/9210.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,324.96636962890625,324.96636962890625,0.0,,319.0046691894531,319.0046691894531,0.0,,1.0,1.0,0.0,'num_1',1.5411734580993652,1.5411734580993652,0.0,319.0046691894531,319.0046691894531,0.0,,319.0046691894531,319.0046691894531,0.0,,38.0
images/7009.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,331.95672607421875,331.95672607421875,0.0,,325.9949645996094,325.9949645996094,0.0,,1.0,1.0,0.0,'num_2',1.5574618577957153,1.5574618577957153,0.0,325.9949645996094,325.9949645996094,0.0,,325.9949645996094,325.9949645996094,0.0,,39.0
images/7161.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,317.9755554199219,317.9755554199219,0.0,,312.01690673828125,312.01690673828125,0.0,,1.0,1.0,0.0,'num_1',4.45819091796875,4.45819091796875,0.0,312.01690673828125,312.01690673828125,0.0,,312.01690673828125,312.01690673828125,0.0,,37.0
images/7036.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,108.18311309814453,108.18311309814453,0.0,,102.2153549194336,102.2153549194336,0.0,,1.0,1.0,0.0,'num_2',4.584039688110352,4.584039688110352,0.0,102.2153549194336,102.2153549194336,0.0,,102.2153549194336,102.2153549194336,0.0,,7.0
images/2387.jpg,Pleasant,sounds/low 1 second.wav,num_1,1.0,206.0806121826172,206.0806121826172,0.0,,200.1078338623047,200.1078338623047,0.0,,1.0,1.0,0.0,'num_1',1.469387173652649,1.469387173652649,0.0,200.1078338623047,200.1078338623047,0.0,,200.1078338623047,200.1078338623047,0.0,,21.0
images/2057.jpg,Pleasant,sounds/high 1 second.wav,num_2,1.0,73.23139190673828,73.23139190673828,0.0,,67.26875305175781,67.26875305175781,0.0,,1.0,1.0,0.0,'num_2',1.5090168714523315,1.5090168714523315,0.0,67.26875305175781,67.26875305175781,0.0,,67.26875305175781,67.26875305175781,0.0,,2.0
