ReactivityImage1,ImageCategory,SoundFile,CorrectAns,n,blank2_1second.started_mean,blank2_1second.started_raw,blank2_1second.started_std,blank2_1second.stopped_raw,reac_1_image.started_mean,reac_1_image.started_raw,reac_1_image.started_std,reac_1_image.stopped_raw,reac_1_keys.corr_mean,reac_1_keys.corr_raw,reac_1_keys.corr_std,reac_1_keys.keys_raw,reac_1_keys.rt_mean,reac_1_keys.rt_raw,reac_1_keys.rt_std,reac_1_keys.started_mean,reac_1_keys.started_raw,reac_1_keys.started_std,reac_1_keys.stopped_raw,reac_1_sound.started_mean,reac_1_sound.started_raw,reac_1_sound.started_std,reac_1_sound.stopped_raw,order
images/7056.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,470.4674987792969,470.4674987792969,0.0,,464.49884033203125,464.49884033203125,0.0,,1.0,1.0,0.0,'num_1',1.6485613584518433,1.6485613584518433,0.0,464.49884033203125,464.49884033203125,0.0,,464.49884033203125,464.49884033203125,0.0,,39.0
images/5510.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,365.54632568359375,365.54632568359375,0.0,,359.5751647949219,359.5751647949219,0.0,,1.0,1.0,0.0,'num_2',1.6676474809646606,1.6676474809646606,0.0,359.5751647949219,359.5751647949219,0.0,,359.5751647949219,359.5751647949219,0.0,,24.0
images/9700.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,309.5405578613281,309.5405578613281,0.0,,303.5694274902344,303.5694274902344,0.0,,1.0,1.0,0.0,'num_1',4.520375728607178,4.520375728607178,0.0,303.5694274902344,303.5694274902344,0.0,,303.5694274902344,303.5694274902344,0.0,,16.0
images/7045.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,442.4898681640625,442.4898681640625,0.0,,436.52801513671875,436.52801513671875,0.0,,1.0,1.0,0.0,'num_2',4.661190986633301,4.661190986633301,0.0,436.52801513671875,436.52801513671875,0.0,,436.52801513671875,436.52801513671875,0.0,,35.0
images/7080.jpg,Neutral,sounds/low 1 second.wav,num_1,1.0,204.6355438232422,204.6355438232422,0.0,,198.68374633789062,198.68374633789062,0.0,,1.0,1.0,0.0,'num_1',1.5145329236984253,1.5145329236984253,0.0,198.68374633789062,198.68374633789062,0.0,,198.68374633789062,198.68374633789062,0.0,,1.0
images/2210.jpg,Neutral,sounds/high 1 second.wav,num_2,1.0,253.5681610107422,253.5681610107422,0.0,,247.5965576171875,247.5965576171875,0.0,,1.0,1.0,0.0,'num_2',1.4843418598175049,1.4843418598175049,0.0,247.5965576171875,247.5965576171875,0.0,,247.5965576171875,247.5965576171875,0.0,,8.0
images/2499.jpg,Neutral,sounds/low 4 second.wav,num_1,1.0,421.50225830078125,421.50225830078125,0.0,,415.548828125,415.548828125,0.0,,1.0,1.0,0.0,'num_1',4.552828788757324,4.552828788757324,0.0,415.548828125,415.548828125,0.0,,415.548828125,415.548828125,0.0,,32.0
images/7025.jpg,Neutral,sounds/high 4 second.wav,num_2,1.0,358.53912353515625,358.53912353515625,0.0,,352.56744384765625,352.56744384765625,0.0,,1.0,1.0,0.0,'num_2',4.470791339874268,4.470791339874268,0.0,352.56744384765625,352.56744384765625,0.0,,352.56744384765625,352.56744384765625,0.0,,23.0
images/1605.jpg,Pleasant,sounds/low 1 second.wav,num_1,1.0,302.5498962402344,302.5498962402344,0.0,,296.5832824707031,296.5832824707031,0.0,,1.0,1.0,0.0,'num_1',1.5466437339782715,1.5466437339782715,0.0,296.5832824707031,296.5832824707031,0.0,,296.5832824707031,296.5832824707031,0.0,,15.0
images/2360.jpg,Pleasant,sounds/high 1 second.wav,num_2,1.0,197.64540100097656,197.64540100097656,0.0,,191.67173767089844,191.67173767089844,0.0,,1.0,1.0,0.0,'num_2',2.654473066329956,2.654473066329956,0.0,191.67173767089844,191.67173767089844,0.0,,191.67173767089844,191.67173767089844,0.0,,0.0
images/2306.jpg,Pleasant,sounds/low 4 second.wav,num_1,1.0,400.5146789550781,400.5146789550781,0.0,,394.56512451171875,394.56512451171875,0.0,,1.0,1.0,0.0,'num_1',4.748348236083984,4.748348236083984,0.0,394.56512451171875,394.56512451171875,0.0,,394.56512451171875,394.56512451171875,0.0,,29.0
images/1441.jpg,Pleasant,sounds/high 4 second.wav,num_2,1.0,428.4923400878906,428.4923400878906,0.0,,422.53814697265625,422.53814697265625,0.0,,1.0,1.0,0.0,'num_2',4.4533257484436035,4.4533257484436035,0.0,422.53814697265625,422.53814697265625,0.0,,422.53814697265625,422.53814697265625,0.0,,33.0
images/8510.jpg,Pleasant,sounds/low 1 second.wav,num_1,1.0,246.5775604248047,246.5775604248047,0.0,,240.62490844726562,240.62490844726562,0.0,,1.0,1.0,0.0,'num_1',1.3992092609405518,1.3992092609405518,0.0,240.62490844726562,240.62490844726562,0.0,,240.62490844726562,240.62490844726562,0.0,,7.0
images/2391.jpg,Pleasant,sounds/high 1 second.wav,num_2,1.0,386.5337829589844,386.5337829589844,0.0,,380.56121826171875,380.56121826171875,0.0,,1.0,1.0,0.0,'num_2',1.686659336090088,1.686659336090088,0.0,380.56121826171875,380.56121826171875,0.0,,380.56121826171875,380.56121826171875,0.0,,27.0
images/2362.jpg,Pleasant,sounds/low 4 second.wav,num_1,1.0,344.5251159667969,344.5251159667969,0.0,,338.54376220703125,338.54376220703125,0.0,,1.0,1.0,0.0,'num_1',4.530868053436279,4.530868053436279,0.0,338.54376220703125,338.54376220703125,0.0,,338.54376220703125,338.54376220703125,0.0,,21.0
images/2311.jpg,Pleasant,sounds/high 4 second.wav,num_2,1.0,281.5624084472656,281.5624084472656,0.0,,275.59088134765625,275.59088134765625,0.0,,1.0,1.0,0.0,'num_2',4.504454135894775,4.504454135894775,0.0,275.59088134765625,275.59088134765625,0.0,,275.59088134765625,275.59088134765625,0.0,,12.0
images/4150.jpg,Pleasant,sounds/low 1 second.wav,num_1,1.0,379.5267333984375,379.5267333984375,0.0,,373.5560607910156,373.5560607910156,0.0,,1.0,1.0,0.0,'num_1',1.750714898109436,1.750714898109436,0.0,373.5560607910156,373.5560607910156,0.0,,373.5560607910156,373.5560607910156,0.0,,26.0
