PictureRatings_2,ImageCategory,port,n,blank_10seconds.started_mean,blank_10seconds.started_raw,blank_10seconds.started_std,blank_10seconds.stopped_raw,prt_2_image.started_mean,prt_2_image.started_raw,prt_2_image.started_std,prt_2_image.stopped_raw,prt_2_vas.response_mean,prt_2_vas.response_raw,prt_2_vas.response_std,prt_2_vas.rt_mean,prt_2_vas.rt_raw,prt_2_vas.rt_std,prt_2_vas.started_mean,prt_2_vas.started_raw,prt_2_vas.started_std,prt_2_vas.stopped_raw,prt_2_vas_guide.started_mean,prt_2_vas_guide.started_raw,prt_2_vas_guide.started_std,prt_2_vas_guide.stopped_raw,prt_2_vas_instructions.started_mean,prt_2_vas_instructions.started_raw,prt_2_vas_instructions.started_std,prt_2_vas_instructions.stopped_raw,prt_image_intens.started_mean,prt_image_intens.started_raw,prt_image_intens.started_std,prt_image_intens.stopped_raw,prt_image_intens_resp.keys_raw,prt_image_intens_resp.rt_mean,prt_image_intens_resp.rt_raw,prt_image_intens_resp.rt_std,prt_image_intens_resp.started_mean,prt_image_intens_resp.started_raw,prt_image_intens_resp.started_std,prt_image_intens_resp.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
images/2393.jpg,Neutral,1,1.0,58.48574447631836,58.48574447631836,0.0,,44.4013786315918,44.4013786315918,0.0,,7.0,7.0,0.0,5.534999847412109,5.534999847412109,0.0,0.002589145442470908,0.002589145442470908,0.0,,52.94240188598633,52.94240188598633,0.0,,52.94240188598633,52.94240188598633,0.0,,50.360862731933594,50.360862731933594,0.0,,'5',2.553663492202759,2.553663492202759,0.0,50.360862731933594,50.360862731933594,0.0,,50.360862731933594,50.360862731933594,0.0,,0.0
images/7009.jpg,Neutral,1,1.0,241.90231323242188,241.90231323242188,0.0,,222.825439453125,222.825439453125,0.0,,2.0,2.0,0.0,10.338000297546387,10.338000297546387,0.0,0.005107680801302195,0.005107680801302195,0.0,,231.5419464111328,231.5419464111328,0.0,,231.5419464111328,231.5419464111328,0.0,,228.8062744140625,228.8062744140625,0.0,,'3',2.7199652194976807,2.7199652194976807,0.0,228.8062744140625,228.8062744140625,0.0,,228.8062744140625,228.8062744140625,0.0,,7.0
images/7006.jpg,Neutral,1,1.0,295.20550537109375,295.20550537109375,0.0,,282.2666015625,282.2666015625,0.0,,2.0,2.0,0.0,3.5969998836517334,3.5969998836517334,0.0,0.005138629116117954,0.005138629116117954,0.0,,291.5851745605469,291.5851745605469,0.0,,291.5851745605469,291.5851745605469,0.0,,288.2156982421875,288.2156982421875,0.0,,'4',3.35396146774292,3.35396146774292,0.0,288.2156982421875,288.2156982421875,0.0,,288.2156982421875,288.2156982421875,0.0,,9.0
images/7036.jpg,Neutral,1,1.0,134.61207580566406,134.61207580566406,0.0,,120.52497100830078,120.52497100830078,0.0,,5.0,5.0,0.0,5.135000228881836,5.135000228881836,0.0,0.0052194553427398205,0.0052194553427398205,0.0,,129.45664978027344,129.45664978027344,0.0,,129.45664978027344,129.45664978027344,0.0,,126.4706802368164,126.4706802368164,0.0,,'5',2.970301389694214,2.970301389694214,0.0,126.4706802368164,126.4706802368164,0.0,,126.4706802368164,126.4706802368164,0.0,,3.0
images/2311.jpg,Pleasant,2,1.0,110.4876480102539,110.4876480102539,0.0,,96.53195190429688,96.53195190429688,0.0,,45.0,45.0,0.0,5.691999912261963,5.691999912261963,0.0,0.012943925336003304,0.012943925336003304,0.0,,104.7741470336914,104.7741470336914,0.0,,104.7741470336914,104.7741470336914,0.0,,102.4800033569336,102.4800033569336,0.0,,'8',2.269601583480835,2.269601583480835,0.0,102.4800033569336,102.4800033569336,0.0,,102.4800033569336,102.4800033569336,0.0,,2.0
images/2347.jpg,Pleasant,2,1.0,183.24368286132812,183.24368286132812,0.0,,168.83119201660156,168.83119201660156,0.0,,45.0,45.0,0.0,6.083000183105469,6.083000183105469,0.0,0.005652732215821743,0.005652732215821743,0.0,,177.13851928710938,177.13851928710938,0.0,,177.13851928710938,177.13851928710938,0.0,,174.7688446044922,174.7688446044922,0.0,,'8',2.353393793106079,2.353393793106079,0.0,174.7688446044922,174.7688446044922,0.0,,174.7688446044922,174.7688446044922,0.0,,5.0
images/2540.jpg,Pleasant,2,1.0,212.80648803710938,212.80648803710938,0.0,,193.2598876953125,193.2598876953125,0.0,,22.0,22.0,0.0,6.507999897003174,6.507999897003174,0.0,0.013115793466567993,0.013115793466567993,0.0,,206.27577209472656,206.27577209472656,0.0,,206.27577209472656,206.27577209472656,0.0,,199.2433624267578,199.2433624267578,0.0,,'6',7.007680416107178,7.007680416107178,0.0,199.2433624267578,199.2433624267578,0.0,,199.2433624267578,199.2433624267578,0.0,,6.0
images/2360.jpg,Pleasant,2,1.0,341.6014709472656,341.6014709472656,0.0,,330.0103759765625,330.0103759765625,0.0,,31.0,31.0,0.0,3.9130001068115234,3.9130001068115234,0.0,0.004856187850236893,0.004856187850236893,0.0,,337.6645812988281,337.6645812988281,0.0,,337.6645812988281,337.6645812988281,0.0,,335.97998046875,335.97998046875,0.0,,'7',1.669108271598816,1.669108271598816,0.0,335.97998046875,335.97998046875,0.0,,335.97998046875,335.97998046875,0.0,,11.0
images/3350.jpg,Unpleasant,3,1.0,319.9969482421875,319.9969482421875,0.0,,305.21771240234375,305.21771240234375,0.0,,-27.0,-27.0,0.0,3.8320000171661377,3.8320000171661377,0.0,0.004995004739612341,0.004995004739612341,0.0,,316.1432800292969,316.1432800292969,0.0,,316.1432800292969,316.1432800292969,0.0,,311.18853759765625,311.18853759765625,0.0,,'7',4.938827037811279,4.938827037811279,0.0,311.18853759765625,311.18853759765625,0.0,,311.18853759765625,311.18853759765625,0.0,,10.0
images/2900.jpg,Unpleasant,3,1.0,86.49724578857422,86.49724578857422,0.0,,68.51183319091797,68.51183319091797,0.0,,-21.0,-21.0,0.0,10.04800033569336,10.04800033569336,0.0,0.011720413342118263,0.011720413342118263,0.0,,76.4273681640625,76.4273681640625,0.0,,76.4273681640625,76.4273681640625,0.0,,74.4854965209961,74.4854965209961,0.0,,'7',1.9191298484802246,1.9191298484802246,0.0,74.4854965209961,74.4854965209961,0.0,,74.4854965209961,74.4854965209961,0.0,,1.0
