ReactivityImage2,ImageCategory,SoundFile,CorrectAns,reac_2_loop.thisRepN,reac_2_loop.thisTrialN,reac_2_loop.thisN,reac_2_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,reac_2_image.started,reac_2_image.stopped,reac_2_sound.started,reac_2_sound.stopped,reac_2_keys.keys,reac_2_keys.corr,reac_2_keys.rt,reac_2_keys.started,reac_2_keys.stopped,blank_1second.started,blank_1second.stopped,postreac2_slide1_text.started,postreac2_slide1_text.stopped,postreac2_slide1_resp.keys,postreac2_slide1_resp.rt,postreac2_slide1_resp.started,postreac2_slide1_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/2890.jpg,Neutral,sounds/high 1 second.wav,num_2,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,149.8212461115545,None,149.8212461115545,None,num_2,1,2.3869825959263835,149.8212461115545,None,155.79363990999082,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/9102.jpg,Unpleasant,sounds/high 1 second.wav,num_2,0,13,13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8112900671822,None,156.8112900671822,None,num_2,1,2.619910466211877,156.8112900671822,None,162.78388337711658,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/7052.jpg,Neutral,sounds/high 4 second.wav,num_2,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,163.81954786007373,None,163.81954786007373,None,num_2,1,5.538293137075016,163.81954786007373,None,169.77435970781153,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/2339.jpg,Pleasant,sounds/high 4 second.wav,num_2,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,170.81689261443898,None,170.81689261443898,None,num_2,1,4.69722117141464,170.81689261443898,None,176.76450281825055,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/7040.jpg,Neutral,sounds/high 4 second.wav,num_2,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,177.79819141625921,None,177.79819141625921,None,num_2,1,5.873944189062968,177.79819141625921,None,183.7547441820916,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/7036.jpg,Neutral,sounds/high 4 second.wav,num_2,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,184.7899327219584,None,184.7899327219584,None,num_2,1,4.7713000307376205,184.7899327219584,None,190.74521840950365,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/7090.jpg,Neutral,sounds/low 4 second.wav,num_1,0,18,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,191.77841904565685,None,191.77841904565685,None,num_1,1,5.3571270825141255,191.77841904565685,None,197.73560520039973,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/1910.jpg,Pleasant,sounds/high 1 second.wav,num_2,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,198.76939054946524,None,198.76939054946524,None,num_2,1,1.7029718499488808,198.76939054946524,None,204.72573599160387,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/9265.jpg,Unpleasant,sounds/low 4 second.wav,num_1,0,20,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,205.7615083429755,None,205.7615083429755,None,num_1,1,5.471682738259915,205.7615083429755,None,211.71627421893754,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
images/7161.jpg,Neutral,sounds/low 4 second.wav,num_1,0,21,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,212.75125513464263,None,212.75125513464263,None,num_1,1,4.570980571967084,212.75125513464263,None,218.72273730976121,None,,,,,,,812,002,2019_May_06_1246,MAER M R1 P2 v1,3.1.0,59.97623029395816,
